Name,URL,Author,Price,No. of Ratings,Rating
Beneath a Scarlet Sky: A Novel,https://www.amazon.in/Beneath-Scarlet-Sky-Mark-Sullivan/dp/1503943372?_encoding=UTF8&psc=1,Mark Sullivan,$8.63,"16,874",4.8 out of 5 stars
Discrimination and Disparities,https://www.amazon.in/Discrimination-Disparities-Thomas-Sowell/dp/154164560X?_encoding=UTF8&psc=1,Thomas Sowell,$25.20,4,5.0 out of 5 stars
"The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence",https://www.amazon.in/Keto-Diet-Complete-Delectable-Confidence/dp/1628600160?_encoding=UTF8&psc=1,Leanne Vogel,$20.97,"1,444",4.6 out of 5 stars
Unfu*k Yourself: Get Out of Your Head and into Your Life,https://www.amazon.in/Unfu-Yourself-Your-Head-into/dp/0062803832?_encoding=UTF8&psc=1,Gary John Bishop,$11.54,522,4.5 out of 5 stars
"Oh, the Places You'll Go!",https://www.amazon.in/Oh-Places-Youll-Dr-Seuss/dp/0679805273?_encoding=UTF8&psc=1,Dr. Seuss,$12.76,"4,027",4.9 out of 5 stars
Astrophysics for People in a Hurry,https://www.amazon.in/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?_encoding=UTF8&psc=1,Neil deGrasse Tyson,$11.37,"2,576",4.6 out of 5 stars
An American Marriage: A Novel (Oprah's Book Club 2018 Selection),https://www.amazon.in/American-Marriage-Novel-Oprahs-Selection/dp/1616208775?_encoding=UTF8&psc=1,Tayari Jones,$16.17,620,4.6 out of 5 stars
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,https://www.amazon.in/Gifts-Imperfection-Think-Supposed-Embrace/dp/159285849X?_encoding=UTF8&psc=1,Brené Brown,$8.99,"3,697",4.6 out of 5 stars
The Life of /La Vida De Selena: A Lil' Libros Bilingual Biography (English and Spanish Edition),https://www.amazon.in/Life-Vida-Selena-Bilingual-Biography/dp/0986109991?_encoding=UTF8&psc=1,Patty Rodriguez,$5.99,71,4.7 out of 5 stars
"Medical Medium Thyroid Healing: The Truth behind Hashimoto's, Graves', Insomnia, Hypothyroidism, Thyroid Nodules & Epstein-Barr",https://www.amazon.in/Medical-Medium-Thyroid-Healing-Hypothyroidism/dp/1401948367?_encoding=UTF8&psc=1,Anthony William,$16.31,"1,175",4.8 out of 5 stars
The Instant Pot® Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,https://www.amazon.in/Instant-Electric-Pressure-Cooker-Cookbook/dp/1623156122?_encoding=UTF8&psc=1,Laurel Randolph,$8.99,"2,231",4.1 out of 5 stars
The Woman in the Window: A Novel,https://www.amazon.in/Woman-Window-Novel-J-Finn/dp/0062678418?_encoding=UTF8&psc=1,A. J. Finn,$16.19,"1,820",4.4 out of 5 stars
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,https://www.amazon.in/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?_encoding=UTF8&psc=1,Michelle McNamara,$16.79,149,4.6 out of 5 stars
What to Expect When You're Expecting,https://www.amazon.in/What-Expect-When-Youre-Expecting/dp/0761187480?_encoding=UTF8&psc=1,Heidi Murkoff,$14.36,"4,167",4.4 out of 5 stars
Emotional Intelligence 2.0,https://www.amazon.in/Emotional-Intelligence-2-0-Travis-Bradberry/dp/0974320625?_encoding=UTF8&psc=1,Travis Bradberry,$14.99,"1,091",4.1 out of 5 stars
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition",https://www.amazon.in/Care-Keeping-You-Younger-Revised/dp/1609580834?_encoding=UTF8&psc=1,Not Available,$8.89,"2,458",4.8 out of 5 stars
The Alchemist,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/0062315005?_encoding=UTF8&psc=1,Paulo Coelho,$10.19,"11,789",4.6 out of 5 stars
Every Breath,https://www.amazon.in/Every-Breath-Nicholas-Sparks/dp/1538728524?_encoding=UTF8&psc=1,Not Available,$25.20,Not Availble,Not Available
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,https://www.amazon.in/Life-Changing-Magic-Tidying-Decluttering-Organizing/dp/1607747308?_encoding=UTF8&psc=1,Marie Kondō,$10.19,"12,911",4.4 out of 5 stars
"Emoji Easter Coloring Book: of Easter Egg Coloring, Cute Animals, Easter Emojis & Funny Bunny Jokes! Easter Bunny Coloring Activity Book, Easter Basket Stuffer for Boys, Girls, Teens & Adults!",https://www.amazon.in/Emoji-Easter-Coloring-Book-Activity/dp/198573060X?_encoding=UTF8&psc=1,Nyx Spectrum,$6.29,Not Availble,Not Available
Jesus Calling: Enjoying Peace in His Presence,https://www.amazon.in/Jesus-Calling-Enjoying-Peace-Presence/dp/1591451884?_encoding=UTF8&psc=1,Sarah Young,$9.72,"16,546",4.9 out of 5 stars
Fire and Fury: Inside the Trump White House,https://www.amazon.in/Fire-Fury-Inside-Trump-White/dp/1250158060?_encoding=UTF8&psc=1,Michael Wolff,$18.00,"7,873",4.3 out of 5 stars
Guess How Much I Love You,https://www.amazon.in/Guess-How-Much-Love-You/dp/0763642649?_encoding=UTF8&psc=1,Sam McBratney,$5.49,"2,037",4.7 out of 5 stars
Where Are Baby's Easter Eggs?: A Lift-the-Flap Book,https://www.amazon.in/Where-Babys-Easter-Lift-Flap/dp/1416949240?_encoding=UTF8&psc=1,Karen Katz,$6.99,175,4.6 out of 5 stars
"Glow15: A Science-Based Plan to Lose Weight, Revitalize Your Skin, and Invigorate Your Life",https://www.amazon.in/Glow15-Science-Based-Weight-Revitalize-Invigorate/dp/1328897672?_encoding=UTF8&psc=1,Naomi Whittel,$17.10,26,4.2 out of 5 stars
"The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat)",https://www.amazon.in/Official-SAT-Study-Guide-2018/dp/1457309289?_encoding=UTF8&psc=1,The College Board,$19.79,214,4.5 out of 5 stars
Welcome Little One,https://www.amazon.in/Welcome-Little-One-Sandra-Magsamen/dp/1492632643?_encoding=UTF8&psc=1,Sandra Magsamen,$4.47,121,4.8 out of 5 stars
Call Me by Your Name: A Novel,https://www.amazon.in/Call-Me-Your-Name-Novel/dp/1250169445?_encoding=UTF8&psc=1,Not Available,$10.13,"1,141",4.6 out of 5 stars
Dog Man: From the Creator of Captain Underpants (Dog Man #1),https://www.amazon.in/Dog-Man-Creator-Captain-Underpants/dp/0545581605?_encoding=UTF8&psc=1,Dav Pilkey,$6.08,351,4.7 out of 5 stars
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,https://www.amazon.in/Make-Your-Bed-Little-Things/dp/1455570249?_encoding=UTF8&psc=1,William H. McRaven,$10.80,"1,692",4.7 out of 5 stars
